file,sample,total,base_substitution,small_indel,large_deletion,large_insertion,large_amplification,large_substitution,mobile_element_insertion,gene_conversion,inversion,reference_bp,called_reference_bp,base_substitution.synonymous,base_substitution.nonsynonymous,base_substitution.nonsense,base_substitution.noncoding,base_substitution.pseudogene,base_substitution.intergenic
T1_WG30.filtered.gatk.gd,T1_WG30,2,0,2,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_WG31.filtered.gatk.gd,T1_WG31,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_WG32.filtered.gatk.gd,T1_WG32,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_WG33.filtered.gatk.gd,T1_WG33,1,1,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,1
T1_WG34.filtered.gatk.gd,T1_WG34,1,1,0,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T1_WG35.filtered.gatk.gd,T1_WG35,1,1,0,0,0,0,0,0,0,0,3773875,3773875,1,0,0,0,0,0
T1_WG36.filtered.gatk.gd,T1_WG36,1,1,0,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T1_WG37.filtered.gatk.gd,T1_WG37,1,1,0,0,0,0,0,0,0,0,3773875,3773875,1,0,0,0,0,0
T1_WG38.filtered.gatk.gd,T1_WG38,1,1,0,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T1_WG39.filtered.gatk.gd,T1_WG39,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_WG3.filtered.gatk.gd,T1_WG3,1,0,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_WG40.filtered.gatk.gd,T1_WG40,3,2,1,0,0,0,0,0,0,0,3773875,3773875,1,0,0,0,0,1
T1_WG41.filtered.gatk.gd,T1_WG41,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_WG42.filtered.gatk.gd,T1_WG42,1,1,0,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T1_WG44.filtered.gatk.gd,T1_WG44,2,1,1,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T1_WG45.filtered.gatk.gd,T1_WG45,4,2,2,0,0,0,0,0,0,0,3773875,3773875,2,0,0,0,0,0
T1_WG46.filtered.gatk.gd,T1_WG46,2,2,0,0,0,0,0,0,0,0,3773875,3773875,1,1,0,0,0,0
T1_WG47.filtered.gatk.gd,T1_WG47,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_WG48.filtered.gatk.gd,T1_WG48,2,2,0,0,0,0,0,0,0,0,3773875,3773875,0,2,0,0,0,0
T1_WG4.filtered.gatk.gd,T1_WG4,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T1_WG6.filtered.gatk.gd,T1_WG6,4,3,1,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,2
T1_WG7.filtered.gatk.gd,T1_WG7,3,2,1,0,0,0,0,0,0,0,3773875,3773875,1,1,0,0,0,0
T1_WG8.filtered.gatk.gd,T1_WG8,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG01.filtered.gatk.gd,T2_CG01,2,0,2,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG02.filtered.gatk.gd,T2_CG02,1,0,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG03.filtered.gatk.gd,T2_CG03,2,2,0,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,1
T2_CG04.filtered.gatk.gd,T2_CG04,3,2,1,0,0,0,0,0,0,0,3773875,3773875,0,2,0,0,0,0
T2_CG05.filtered.gatk.gd,T2_CG05,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG06.filtered.gatk.gd,T2_CG06,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG07.filtered.gatk.gd,T2_CG07,2,1,1,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T2_CG08.filtered.gatk.gd,T2_CG08,3,1,2,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T2_CG09.filtered.gatk.gd,T2_CG09,2,0,2,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG10.filtered.gatk.gd,T2_CG10,4,1,3,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,0
T2_CG11.filtered.gatk.gd,T2_CG11,3,2,1,0,0,0,0,0,0,0,3773875,3773875,0,1,0,0,0,1
T2_CG12.filtered.gatk.gd,T2_CG12,1,1,0,0,0,0,0,0,0,0,3773875,3773875,1,0,0,0,0,0
T2_CG19.filtered.gatk.gd,T2_CG19,1,0,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG20.filtered.gatk.gd,T2_CG20,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG21.filtered.gatk.gd,T2_CG21,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG22.filtered.gatk.gd,T2_CG22,3,1,2,0,0,0,0,0,0,0,3773875,3773875,1,0,0,0,0,0
T2_CG23.filtered.gatk.gd,T2_CG23,3,2,1,0,0,0,0,0,0,0,3773875,3773875,1,0,0,0,0,1
T2_CG24.filtered.gatk.gd,T2_CG24,1,0,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG26.filtered.gatk.gd,T2_CG26,2,2,0,0,0,0,0,0,0,0,3773875,3773875,0,2,0,0,0,0
T2_CG27.filtered.gatk.gd,T2_CG27,1,0,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG28.filtered.gatk.gd,T2_CG28,3,1,2,0,0,0,0,0,0,0,3773875,3773875,1,0,0,0,0,0
T2_CG29.filtered.gatk.gd,T2_CG29,4,0,4,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG30.filtered.gatk.gd,T2_CG30,0,0,0,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG31.filtered.gatk.gd,T2_CG31,2,1,1,0,0,0,0,0,0,0,3773875,3773875,1,0,0,0,0,0
T2_CG32.filtered.gatk.gd,T2_CG32,3,1,2,0,0,0,0,0,0,0,3773875,3773875,0,0,1,0,0,0
T2_CG33.filtered.gatk.gd,T2_CG33,1,0,1,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
T2_CG34.filtered.gatk.gd,T2_CG34,2,0,2,0,0,0,0,0,0,0,3773875,3773875,0,0,0,0,0,0
