file,sample,CONVERTED-BASES,CONVERTED-READS,INPUT-BASES,INPUT-READS,MAPPED-BASES,MAPPED-READS,total,base_substitution,small_indel,large_deletion,large_insertion,large_amplification,large_substitution,mobile_element_insertion,gene_conversion,inversion,reference_bp,called_reference_bp,base_substitution.synonymous,base_substitution.nonsynonymous,base_substitution.nonsense,base_substitution.noncoding,base_substitution.pseudogene,base_substitution.intergenic
T2_WG02.bre.gd,T2_WG02,1069895537,8726597,1070853796,8734320,1019814157,8323873,6,2,4,0,0,0,0,0,0,0,3773875,3712230,0,1,0,0,0,1
T2_WG03.bre.gd,T2_WG03,787678454,6319927,788460409,6326204,780950949,6267419,4,1,3,0,0,0,0,0,0,0,3773875,3712038,0,0,0,0,0,1
T2_WG04.bre.gd,T2_WG04,1430624161,11747520,1431640209,11755712,1419289555,11656069,4,1,3,0,0,0,0,0,0,0,3773875,3712416,0,0,0,0,0,1
T2_WG05.bre.gd,T2_WG05,639573280,5120775,640156926,5125436,611221848,4898897,3,1,2,0,0,0,0,0,0,0,3773875,3711640,0,0,0,0,0,1
T2_WG06.bre.gd,T2_WG06,1704949808,14188471,1706261293,14199104,1373982634,11476891,76,54,22,0,0,0,0,0,0,0,3773875,3713267,0,0,0,53,0,1
T2_WG07.bre.gd,T2_WG07,2413737229,20246436,2415003749,20256696,2397765724,20117389,4,2,2,0,0,0,0,0,0,0,3773875,3712591,0,1,0,0,0,1
T2_WG08.bre.gd,T2_WG08,784188547,6362585,784743956,6367036,781290525,6341021,5,2,3,0,0,0,0,0,0,0,3773875,3712083,0,1,0,0,0,1
T2_WG09.bre.gd,T2_WG09,2890170814,24372247,2892079703,24387852,2873991194,24243710,4,2,2,0,0,0,0,0,0,0,3773875,3712703,0,1,0,0,0,1
T2_WG10.bre.gd,T2_WG10,1830328849,15397470,1831741659,15408788,1757279854,14799433,6,2,4,0,0,0,0,0,0,0,3773875,3712449,0,1,0,0,0,1
T2_WG11.bre.gd,T2_WG11,2409241558,20507040,2411339541,20524180,2394503502,20388616,4,1,3,0,0,0,0,0,0,0,3773875,3712731,0,0,0,0,0,1
T2_WG12.bre.gd,T2_WG12,127387987,1018667,127495838,1019532,125946716,1007251,3,1,2,0,0,0,0,0,0,0,3773875,3691217,0,0,0,0,0,1
T2_WG13.bre.gd,T2_WG13,898688952,7371010,899306087,7375988,892508107,7321873,7,3,4,0,0,0,0,0,0,0,3773875,3712173,1,1,0,0,0,1
T2_WG14.bre.gd,T2_WG14,2523881900,21021746,2525519166,21035010,2513552891,20943260,7,3,4,0,0,0,0,0,0,0,3773875,3712745,1,1,0,0,0,1
T2_WG15.bre.gd,T2_WG15,2070932301,17287763,2072664690,17301804,2058281068,17187874,3,1,2,0,0,0,0,0,0,0,3773875,3712620,0,0,0,0,0,1
T2_WG16.bre.gd,T2_WG16,1318576203,10685356,1319731976,10694660,1312700702,10641320,3,1,2,0,0,0,0,0,0,0,3773875,3712401,0,0,0,0,0,1
T2_WG17.bre.gd,T2_WG17,2978602257,24896455,2980975283,24915790,2966858504,24807046,5,3,2,0,0,0,0,0,0,0,3773875,3712723,1,1,0,0,0,1
T2_WG18.bre.gd,T2_WG18,958235499,8025595,959154715,8033018,952827135,7982797,5,3,2,0,0,0,0,0,0,0,3773875,3712019,1,1,0,0,0,1
T2_WG19.bre.gd,T2_WG19,1680833739,14202510,1682064934,14212608,1675617119,14163772,4,1,3,0,0,0,0,0,0,0,3773875,3712565,0,0,0,0,0,1
T2_WG20.bre.gd,T2_WG20,5116530807,42688287,5122183307,42735202,5099097022,42557361,5,1,4,0,0,0,0,0,0,0,3773875,3713007,0,0,0,0,0,1
